District,Variety,Month,Year
Aurangabad,H-4(A) 27mm FIne,Feb,2019
Aurangabad,LRA,Feb,2019
Aurangabad,N-44,Feb,2019
Aurangabad,DCH-32(Unginned),Feb,2019
Wardha,Varaxmi,Mar,2019
Wardha,Desi,Mar,2019
Wardha,Other,Mar,2019
Wardha,H-4(A) 27mm FIne,Mar,2019
Wardha,LRA,Mar,2019
Wardha,N-44,Mar,2019
Wardha,DCH-32(Unginned),Mar,2019
Nagpur,Varaxmi,Mar,2019
Nagpur,Desi,Mar,2019
Nagpur,Other,Mar,2019
Nagpur,H-4(A) 27mm FIne,Mar,2019
Nagpur,LRA,Mar,2019
Nagpur,N-44,Mar,2019
Nagpur,DCH-32(Unginned),Mar,2019
Yavatmal,Varaxmi,Mar,2019
Yavatmal,Desi,Mar,2019
Yavatmal,Other,Mar,2019
Yavatmal,H-4(A) 27mm FIne,Mar,2019
Yavatmal,LRA,Mar,2019
Yavatmal,N-44,Mar,2019
Yavatmal,DCH-32(Unginned),Mar,2019
Chandrapur,Varaxmi,Mar,2019
Chandrapur,Desi,Mar,2019
Chandrapur,Other,Mar,2019
Chandrapur,H-4(A) 27mm FIne,Mar,2019
Chandrapur,LRA,Mar,2019
Chandrapur,N-44,Mar,2019
Chandrapur,DCH-32(Unginned),Mar,2019
Parbhani,Varaxmi,Mar,2019
Parbhani,Desi,Mar,2019
Parbhani,Other,Mar,2019
Parbhani,H-4(A) 27mm FIne,Mar,2019
Parbhani,LRA,Mar,2019
Parbhani,N-44,Mar,2019
Parbhani,DCH-32(Unginned),Mar,2019
Amarawati,Varaxmi,Mar,2019
Amarawati,Desi,Mar,2019
Amarawati,Other,Mar,2019
Amarawati,H-4(A) 27mm FIne,Mar,2019
Amarawati,LRA,Mar,2019
Amarawati,N-44,Mar,2019
Amarawati,DCH-32(Unginned),Mar,2019
Jalana,Varaxmi,Mar,2019
Jalana,Desi,Mar,2019
Jalana,Other,Mar,2019
Jalana,H-4(A) 27mm FIne,Mar,2019
Jalana,LRA,Mar,2019
Jalana,N-44,Mar,2019
Jalana,DCH-32(Unginned),Mar,2019
Beed,Varaxmi,Mar,2019
Beed,Desi,Mar,2019
Beed,Other,Mar,2019
Beed,H-4(A) 27mm FIne,Mar,2019
Beed,LRA,Mar,2019
Beed,N-44,Mar,2019
Beed,DCH-32(Unginned),Mar,2019
Buldhana,Varaxmi,Mar,2019
Buldhana,Desi,Mar,2019
Buldhana,Other,Mar,2019
Buldhana,H-4(A) 27mm FIne,Mar,2019
Buldhana,LRA,Mar,2019
Buldhana,N-44,Mar,2019
Buldhana,DCH-32(Unginned),Mar,2019
Nanded,Varaxmi,Mar,2019
Nanded,Desi,Mar,2019
Nanded,Other,Mar,2019
Nanded,H-4(A) 27mm FIne,Mar,2019
Nanded,LRA,Mar,2019
Nanded,N-44,Mar,2019
Nanded,DCH-32(Unginned),Mar,2019
Akola,Varaxmi,Mar,2019
Akola,Desi,Mar,2019
Akola,Other,Mar,2019
Akola,H-4(A) 27mm FIne,Mar,2019
Akola,LRA,Mar,2019
Akola,N-44,Mar,2019
Akola,DCH-32(Unginned),Mar,2019
Aurangabad,Varaxmi,Mar,2019
Aurangabad,Desi,Mar,2019
Aurangabad,Other,Mar,2019
Aurangabad,H-4(A) 27mm FIne,Mar,2019
Aurangabad,LRA,Mar,2019
Aurangabad,N-44,Mar,2019
Aurangabad,DCH-32(Unginned),Mar,2019
Wardha,Varaxmi,Apr,2019
Wardha,Desi,Apr,2019
Wardha,Other,Apr,2019
Wardha,H-4(A) 27mm FIne,Apr,2019
Wardha,LRA,Apr,2019
Wardha,N-44,Apr,2019
Wardha,DCH-32(Unginned),Apr,2019
Nagpur,Varaxmi,Apr,2019
Nagpur,Desi,Apr,2019
Nagpur,Other,Apr,2019
Nagpur,H-4(A) 27mm FIne,Apr,2019
Nagpur,LRA,Apr,2019
Nagpur,N-44,Apr,2019
Nagpur,DCH-32(Unginned),Apr,2019
Yavatmal,Varaxmi,Apr,2019
Yavatmal,Desi,Apr,2019
Yavatmal,Other,Apr,2019
Yavatmal,H-4(A) 27mm FIne,Apr,2019
Yavatmal,LRA,Apr,2019
Yavatmal,N-44,Apr,2019
Yavatmal,DCH-32(Unginned),Apr,2019
Chandrapur,Varaxmi,Apr,2019
Chandrapur,Desi,Apr,2019
Chandrapur,Other,Apr,2019
Chandrapur,H-4(A) 27mm FIne,Apr,2019
Chandrapur,LRA,Apr,2019
Chandrapur,N-44,Apr,2019
Chandrapur,DCH-32(Unginned),Apr,2019
Parbhani,Varaxmi,Apr,2019
Parbhani,Desi,Apr,2019
Parbhani,Other,Apr,2019
Parbhani,H-4(A) 27mm FIne,Apr,2019
Parbhani,LRA,Apr,2019
Parbhani,N-44,Apr,2019
Parbhani,DCH-32(Unginned),Apr,2019
Amarawati,Varaxmi,Apr,2019
Amarawati,Desi,Apr,2019
Amarawati,Other,Apr,2019
Amarawati,H-4(A) 27mm FIne,Apr,2019
Amarawati,LRA,Apr,2019
Amarawati,N-44,Apr,2019
Amarawati,DCH-32(Unginned),Apr,2019
Jalana,Varaxmi,Apr,2019
Jalana,Desi,Apr,2019
Jalana,Other,Apr,2019
Jalana,H-4(A) 27mm FIne,Apr,2019
Jalana,LRA,Apr,2019
Jalana,N-44,Apr,2019
Jalana,DCH-32(Unginned),Apr,2019
Beed,Varaxmi,Apr,2019
Beed,Desi,Apr,2019
Beed,Other,Apr,2019
Beed,H-4(A) 27mm FIne,Apr,2019
Beed,LRA,Apr,2019
Beed,N-44,Apr,2019
Beed,DCH-32(Unginned),Apr,2019
Buldhana,Varaxmi,Apr,2019
Buldhana,Desi,Apr,2019
Buldhana,Other,Apr,2019
Buldhana,H-4(A) 27mm FIne,Apr,2019
Buldhana,LRA,Apr,2019
Buldhana,N-44,Apr,2019
Buldhana,DCH-32(Unginned),Apr,2019
Nanded,Varaxmi,Apr,2019
Nanded,Desi,Apr,2019
Nanded,Other,Apr,2019
Nanded,H-4(A) 27mm FIne,Apr,2019
Nanded,LRA,Apr,2019
Nanded,N-44,Apr,2019
Nanded,DCH-32(Unginned),Apr,2019
Akola,Varaxmi,Apr,2019
Akola,Desi,Apr,2019
Akola,Other,Apr,2019
Akola,H-4(A) 27mm FIne,Apr,2019
Akola,LRA,Apr,2019
Akola,N-44,Apr,2019
Akola,DCH-32(Unginned),Apr,2019
Aurangabad,Varaxmi,Apr,2019
Aurangabad,Desi,Apr,2019
Aurangabad,Other,Apr,2019
Aurangabad,H-4(A) 27mm FIne,Apr,2019
Aurangabad,LRA,Apr,2019
Aurangabad,N-44,Apr,2019
Aurangabad,DCH-32(Unginned),Apr,2019
Wardha,Varaxmi,May,2019
Wardha,Desi,May,2019
Wardha,Other,May,2019
Wardha,H-4(A) 27mm FIne,May,2019
Wardha,LRA,May,2019
Wardha,N-44,May,2019
Wardha,DCH-32(Unginned),May,2019
Nagpur,Varaxmi,May,2019
Nagpur,Desi,May,2019
Nagpur,Other,May,2019
Nagpur,H-4(A) 27mm FIne,May,2019
Nagpur,LRA,May,2019
Nagpur,N-44,May,2019
Nagpur,DCH-32(Unginned),May,2019
Yavatmal,Varaxmi,May,2019
Yavatmal,Desi,May,2019
Yavatmal,Other,May,2019
Yavatmal,H-4(A) 27mm FIne,May,2019
Yavatmal,LRA,May,2019
Yavatmal,N-44,May,2019
Yavatmal,DCH-32(Unginned),May,2019
Chandrapur,Varaxmi,May,2019
Chandrapur,Desi,May,2019
Chandrapur,Other,May,2019
Chandrapur,H-4(A) 27mm FIne,May,2019
Chandrapur,LRA,May,2019
Chandrapur,N-44,May,2019
Chandrapur,DCH-32(Unginned),May,2019
Parbhani,Varaxmi,May,2019
Parbhani,Desi,May,2019
Parbhani,Other,May,2019
Parbhani,H-4(A) 27mm FIne,May,2019
Parbhani,LRA,May,2019
Parbhani,N-44,May,2019
Parbhani,DCH-32(Unginned),May,2019
Amarawati,Varaxmi,May,2019
Amarawati,Desi,May,2019
Amarawati,Other,May,2019
Amarawati,H-4(A) 27mm FIne,May,2019
Amarawati,LRA,May,2019
Amarawati,N-44,May,2019
Amarawati,DCH-32(Unginned),May,2019
Jalana,Varaxmi,May,2019
Jalana,Desi,May,2019
Jalana,Other,May,2019
Jalana,H-4(A) 27mm FIne,May,2019
Jalana,LRA,May,2019
Jalana,N-44,May,2019
Jalana,DCH-32(Unginned),May,2019
Beed,Varaxmi,May,2019
Beed,Desi,May,2019
Beed,Other,May,2019
Beed,H-4(A) 27mm FIne,May,2019
Beed,LRA,May,2019
Beed,N-44,May,2019
Beed,DCH-32(Unginned),May,2019
Buldhana,Varaxmi,May,2019
Buldhana,Desi,May,2019
Buldhana,Other,May,2019
Buldhana,H-4(A) 27mm FIne,May,2019
Buldhana,LRA,May,2019
Buldhana,N-44,May,2019
Buldhana,DCH-32(Unginned),May,2019
Nanded,Varaxmi,May,2019
Nanded,Desi,May,2019
