,District,Variety,Month,Year,Price
129,Jalana,H-4(A) 27mm FIne,Feb,2019,4084
130,Jalana,LRA,Feb,2019,4054
131,Jalana,N-44,Feb,2019,4054
132,Jalana,DCH-32(Unginned),Feb,2019,4054
133,Beed,Varaxmi,Feb,2019,4686
134,Beed,Desi,Feb,2019,4701
135,Beed,Other,Feb,2019,4676
136,Beed,H-4(A) 27mm FIne,Feb,2019,4799
137,Beed,LRA,Feb,2019,4722
138,Beed,N-44,Feb,2019,4704
139,Beed,DCH-32(Unginned),Feb,2019,4527
140,Buldhana,Varaxmi,Feb,2019,4373
141,Buldhana,Desi,Feb,2019,4528
142,Buldhana,Other,Feb,2019,4524
143,Buldhana,H-4(A) 27mm FIne,Feb,2019,4920
144,Buldhana,LRA,Feb,2019,4534
145,Buldhana,N-44,Feb,2019,4527
146,Buldhana,DCH-32(Unginned),Feb,2019,4537
147,Nanded,Varaxmi,Feb,2019,4369
148,Nanded,Desi,Feb,2019,4419
149,Nanded,Other,Feb,2019,4416
150,Nanded,H-4(A) 27mm FIne,Feb,2019,4538
151,Nanded,LRA,Feb,2019,4425
152,Nanded,N-44,Feb,2019,4420
153,Nanded,DCH-32(Unginned),Feb,2019,4493
154,Akola,Varaxmi,Feb,2019,4480
155,Akola,Desi,Feb,2019,4648
156,Akola,Other,Feb,2019,4635
157,Akola,H-4(A) 27mm FIne,Feb,2019,4791
158,Akola,LRA,Feb,2019,4721
159,Akola,N-44,Feb,2019,4653
160,Akola,DCH-32(Unginned),Feb,2019,4524
161,Aurangabad,Varaxmi,Feb,2019,4801
162,Aurangabad,Desi,Feb,2019,4773
163,Aurangabad,Other,Feb,2019,4738
164,Aurangabad,H-4(A) 27mm FIne,Feb,2019,4817
165,Aurangabad,LRA,Feb,2019,4785
166,Aurangabad,N-44,Feb,2019,4774
167,Aurangabad,DCH-32(Unginned),Feb,2019,4546
168,Wardha,Varaxmi,Mar,2019,4501
169,Wardha,Desi,Mar,2019,4596
170,Wardha,Other,Mar,2019,4582
171,Wardha,H-4(A) 27mm FIne,Mar,2019,4722
172,Wardha,LRA,Mar,2019,4629
173,Wardha,N-44,Mar,2019,4601
174,Wardha,DCH-32(Unginned),Mar,2019,4457
175,Nagpur,Varaxmi,Mar,2019,4699
176,Nagpur,Desi,Mar,2019,4747
177,Nagpur,Other,Mar,2019,4721
178,Nagpur,H-4(A) 27mm FIne,Mar,2019,4728
179,Nagpur,LRA,Mar,2019,4849
180,Nagpur,N-44,Mar,2019,4746
181,Nagpur,DCH-32(Unginned),Mar,2019,4527
182,Yavatmal,Varaxmi,Mar,2019,4604
183,Yavatmal,Desi,Mar,2019,4596
184,Yavatmal,Other,Mar,2019,4593
185,Yavatmal,H-4(A) 27mm FIne,Mar,2019,4706
186,Yavatmal,LRA,Mar,2019,4585
187,Yavatmal,N-44,Mar,2019,4603
188,Yavatmal,DCH-32(Unginned),Mar,2019,4464
189,Chandrapur,Varaxmi,Mar,2019,4390
190,Chandrapur,Desi,Mar,2019,4533
191,Chandrapur,Other,Mar,2019,4529
192,Chandrapur,H-4(A) 27mm FIne,Mar,2019,4666
193,Chandrapur,LRA,Mar,2019,4537
194,Chandrapur,N-44,Mar,2019,4534
195,Chandrapur,DCH-32(Unginned),Mar,2019,4458
196,Parbhani,Varaxmi,Mar,2019,4842
197,Parbhani,Desi,Mar,2019,4823
198,Parbhani,Other,Mar,2019,4621
199,Parbhani,H-4(A) 27mm FIne,Mar,2019,4925
200,Parbhani,LRA,Mar,2019,4830
201,Parbhani,N-44,Mar,2019,4823
202,Parbhani,DCH-32(Unginned),Mar,2019,4521
203,Amarawati,Varaxmi,Mar,2019,4674
204,Amarawati,Desi,Mar,2019,4705
205,Amarawati,Other,Mar,2019,4669
206,Amarawati,H-4(A) 27mm FIne,Mar,2019,4753
207,Amarawati,LRA,Mar,2019,4737
208,Amarawati,N-44,Mar,2019,4716
209,Amarawati,DCH-32(Unginned),Mar,2019,4465
210,Jalana,Varaxmi,Mar,2019,4037
211,Jalana,Desi,Mar,2019,3954
212,Jalana,Other,Mar,2019,3954
213,Jalana,H-4(A) 27mm FIne,Mar,2019,3863
214,Jalana,LRA,Mar,2019,3954
215,Jalana,N-44,Mar,2019,3954
216,Jalana,DCH-32(Unginned),Mar,2019,3954
217,Beed,Varaxmi,Mar,2019,4667
218,Beed,Desi,Mar,2019,4698
219,Beed,Other,Mar,2019,4661
220,Beed,H-4(A) 27mm FIne,Mar,2019,4753
221,Beed,LRA,Mar,2019,4731
222,Beed,N-44,Mar,2019,4703
223,Beed,DCH-32(Unginned),Mar,2019,4463
224,Buldhana,Varaxmi,Mar,2019,4360
225,Buldhana,Desi,Mar,2019,4549
226,Buldhana,Other,Mar,2019,4538
227,Buldhana,H-4(A) 27mm FIne,Mar,2019,4884
228,Buldhana,LRA,Mar,2019,4557
229,Buldhana,N-44,Mar,2019,4549
230,Buldhana,DCH-32(Unginned),Mar,2019,4467
231,Nanded,Varaxmi,Mar,2019,4143
