,District,Variety,Month,Year,Price
577,Akola,H-4(A) 27mm FIne,Jul,2019,4921
578,Akola,LRA,Jul,2019,5068
579,Akola,N-44,Jul,2019,4934
580,Akola,DCH-32(Unginned),Jul,2019,4925
581,Aurangabad,Varaxmi,Jul,2019,4925
582,Aurangabad,Desi,Jul,2019,4966
583,Aurangabad,Other,Jul,2019,4936
584,Aurangabad,H-4(A) 27mm FIne,Jul,2019,4959
585,Aurangabad,LRA,Jul,2019,5049
586,Aurangabad,N-44,Jul,2019,4976
587,Aurangabad,DCH-32(Unginned),Jul,2019,4961
588,Wardha,Varaxmi,Aug,2019,4496
589,Wardha,Desi,Aug,2019,4577
590,Wardha,Other,Aug,2019,4569
591,Wardha,H-4(A) 27mm FIne,Aug,2019,4756
592,Wardha,LRA,Aug,2019,4601
593,Wardha,N-44,Aug,2019,4580
594,Wardha,DCH-32(Unginned),Aug,2019,4524
595,Nagpur,Varaxmi,Aug,2019,4774
596,Nagpur,Desi,Aug,2019,4805
597,Nagpur,Other,Aug,2019,4786
598,Nagpur,H-4(A) 27mm FIne,Aug,2019,4768
599,Nagpur,LRA,Aug,2019,4879
600,Nagpur,N-44,Aug,2019,4804
601,Nagpur,DCH-32(Unginned),Aug,2019,4589
602,Yavatmal,Varaxmi,Aug,2019,4699
603,Yavatmal,Desi,Aug,2019,4660
604,Yavatmal,Other,Aug,2019,4649
605,Yavatmal,H-4(A) 27mm FIne,Aug,2019,4771
606,Yavatmal,LRA,Aug,2019,4636
607,Yavatmal,N-44,Aug,2019,4664
608,Yavatmal,DCH-32(Unginned),Aug,2019,4525
609,Chandrapur,Varaxmi,Aug,2019,4490
610,Chandrapur,Desi,Aug,2019,4593
611,Chandrapur,Other,Aug,2019,4590
612,Chandrapur,H-4(A) 27mm FIne,Aug,2019,4699
613,Chandrapur,LRA,Aug,2019,4598
614,Chandrapur,N-44,Aug,2019,4593
615,Chandrapur,DCH-32(Unginned),Aug,2019,4525
616,Parbhani,Varaxmi,Aug,2019,4850
617,Parbhani,Desi,Aug,2019,4800
618,Parbhani,Other,Aug,2019,4644
619,Parbhani,H-4(A) 27mm FIne,Aug,2019,4894
620,Parbhani,LRA,Aug,2019,4805
621,Parbhani,N-44,Aug,2019,4801
622,Parbhani,DCH-32(Unginned),Aug,2019,4565
623,Amarawati,Varaxmi,Aug,2019,4690
624,Amarawati,Desi,Aug,2019,4709
625,Amarawati,Other,Aug,2019,4685
626,Amarawati,H-4(A) 27mm FIne,Aug,2019,4796
627,Amarawati,LRA,Aug,2019,4727
628,Amarawati,N-44,Aug,2019,4716
629,Amarawati,DCH-32(Unginned),Aug,2019,4527
630,Jalana,Varaxmi,Aug,2019,4033
631,Jalana,Desi,Aug,2019,4054
632,Jalana,Other,Aug,2019,4054
633,Jalana,H-4(A) 27mm FIne,Aug,2019,4084
634,Jalana,LRA,Aug,2019,4054
635,Jalana,N-44,Aug,2019,4054
636,Jalana,DCH-32(Unginned),Aug,2019,4054
637,Beed,Varaxmi,Aug,2019,4686
638,Beed,Desi,Aug,2019,4701
639,Beed,Other,Aug,2019,4676
640,Beed,H-4(A) 27mm FIne,Aug,2019,4799
641,Beed,LRA,Aug,2019,4722
642,Beed,N-44,Aug,2019,4704
643,Beed,DCH-32(Unginned),Aug,2019,4527
644,Buldhana,Varaxmi,Aug,2019,4373
645,Buldhana,Desi,Aug,2019,4528
646,Buldhana,Other,Aug,2019,4524
647,Buldhana,H-4(A) 27mm FIne,Aug,2019,4920
648,Buldhana,LRA,Aug,2019,4534
649,Buldhana,N-44,Aug,2019,4527
650,Buldhana,DCH-32(Unginned),Aug,2019,4537
651,Nanded,Varaxmi,Aug,2019,4369
652,Nanded,Desi,Aug,2019,4419
653,Nanded,Other,Aug,2019,4416
654,Nanded,H-4(A) 27mm FIne,Aug,2019,4538
655,Nanded,LRA,Aug,2019,4425
656,Nanded,N-44,Aug,2019,4420
657,Nanded,DCH-32(Unginned),Aug,2019,4493
658,Akola,Varaxmi,Aug,2019,4480
659,Akola,Desi,Aug,2019,4648
660,Akola,Other,Aug,2019,4635
661,Akola,H-4(A) 27mm FIne,Aug,2019,4791
662,Akola,LRA,Aug,2019,4721
663,Akola,N-44,Aug,2019,4653
664,Akola,DCH-32(Unginned),Aug,2019,4524
665,Aurangabad,Varaxmi,Aug,2019,4801
666,Aurangabad,Desi,Aug,2019,4773
667,Aurangabad,Other,Aug,2019,4738
668,Aurangabad,H-4(A) 27mm FIne,Aug,2019,4817
669,Aurangabad,LRA,Aug,2019,4785
670,Aurangabad,N-44,Aug,2019,4774
671,Aurangabad,DCH-32(Unginned),Aug,2019,4546
672,Wardha,Varaxmi,Sep,2019,4496
673,Wardha,Desi,Sep,2019,4577
674,Wardha,Other,Sep,2019,4569
675,Wardha,H-4(A) 27mm FIne,Sep,2019,4756
676,Wardha,LRA,Sep,2019,4601
677,Wardha,N-44,Sep,2019,4580
678,Wardha,DCH-32(Unginned),Sep,2019,4524
679,Nagpur,Varaxmi,Sep,2019,4774
680,Nagpur,Desi,Sep,2019,4805
681,Nagpur,Other,Sep,2019,4786
682,Nagpur,H-4(A) 27mm FIne,Sep,2019,4768
683,Nagpur,LRA,Sep,2019,4879
684,Nagpur,N-44,Sep,2019,4804
685,Nagpur,DCH-32(Unginned),Sep,2019,4589
686,Yavatmal,Varaxmi,Sep,2019,4699
687,Yavatmal,Desi,Sep,2019,4660
688,Yavatmal,Other,Sep,2019,4649
689,Yavatmal,H-4(A) 27mm FIne,Sep,2019,4771
690,Yavatmal,LRA,Sep,2019,4636
691,Yavatmal,N-44,Sep,2019,4664
692,Yavatmal,DCH-32(Unginned),Sep,2019,4525
693,Chandrapur,Varaxmi,Sep,2019,4490
694,Chandrapur,Desi,Sep,2019,4593
695,Chandrapur,Other,Sep,2019,4590
696,Chandrapur,H-4(A) 27mm FIne,Sep,2019,4699
697,Chandrapur,LRA,Sep,2019,4598
698,Chandrapur,N-44,Sep,2019,4593
699,Chandrapur,DCH-32(Unginned),Sep,2019,4525
700,Parbhani,Varaxmi,Sep,2019,4850
701,Parbhani,Desi,Sep,2019,4800
702,Parbhani,Other,Sep,2019,4644
703,Parbhani,H-4(A) 27mm FIne,Sep,2019,4894
704,Parbhani,LRA,Sep,2019,4805
705,Parbhani,N-44,Sep,2019,4801
706,Parbhani,DCH-32(Unginned),Sep,2019,4565
707,Amarawati,Varaxmi,Sep,2019,4690
708,Amarawati,Desi,Sep,2019,4709
709,Amarawati,Other,Sep,2019,4685
710,Amarawati,H-4(A) 27mm FIne,Sep,2019,4796
711,Amarawati,LRA,Sep,2019,4727
712,Amarawati,N-44,Sep,2019,4716
713,Amarawati,DCH-32(Unginned),Sep,2019,4527
714,Jalana,Varaxmi,Sep,2019,4033
715,Jalana,Desi,Sep,2019,4054
716,Jalana,Other,Sep,2019,4054
717,Jalana,H-4(A) 27mm FIne,Sep,2019,4084
718,Jalana,LRA,Sep,2019,4054
719,Jalana,N-44,Sep,2019,4054
720,Jalana,DCH-32(Unginned),Sep,2019,4054
721,Beed,Varaxmi,Sep,2019,4686
722,Beed,Desi,Sep,2019,4701
723,Beed,Other,Sep,2019,4676
724,Beed,H-4(A) 27mm FIne,Sep,2019,4799
725,Beed,LRA,Sep,2019,4722
726,Beed,N-44,Sep,2019,4704
727,Beed,DCH-32(Unginned),Sep,2019,4527
728,Buldhana,Varaxmi,Sep,2019,4373
729,Buldhana,Desi,Sep,2019,4528
730,Buldhana,Other,Sep,2019,4524
731,Buldhana,H-4(A) 27mm FIne,Sep,2019,4920
732,Buldhana,LRA,Sep,2019,4534
733,Buldhana,N-44,Sep,2019,4527
734,Buldhana,DCH-32(Unginned),Sep,2019,4537
735,Nanded,Varaxmi,Sep,2019,4369
736,Nanded,Desi,Sep,2019,4419
737,Nanded,Other,Sep,2019,4416
738,Nanded,H-4(A) 27mm FIne,Sep,2019,4538
739,Nanded,LRA,Sep,2019,4425
740,Nanded,N-44,Sep,2019,4420
741,Nanded,DCH-32(Unginned),Sep,2019,4493
742,Akola,Varaxmi,Sep,2019,4480
743,Akola,Desi,Sep,2019,4648
744,Akola,Other,Sep,2019,4635
745,Akola,H-4(A) 27mm FIne,Sep,2019,4791
746,Akola,LRA,Sep,2019,4721
747,Akola,N-44,Sep,2019,4653
748,Akola,DCH-32(Unginned),Sep,2019,4524
749,Aurangabad,Varaxmi,Sep,2019,4801
750,Aurangabad,Desi,Sep,2019,4773
751,Aurangabad,Other,Sep,2019,4738
752,Aurangabad,H-4(A) 27mm FIne,Sep,2019,4817
753,Aurangabad,LRA,Sep,2019,4785
754,Aurangabad,N-44,Sep,2019,4774
755,Aurangabad,DCH-32(Unginned),Sep,2019,4546
756,Wardha,Varaxmi,Oct,2019,4496
757,Wardha,Desi,Oct,2019,4577
758,Wardha,Other,Oct,2019,4569
759,Wardha,H-4(A) 27mm FIne,Oct,2019,4756
760,Wardha,LRA,Oct,2019,4601
761,Wardha,N-44,Oct,2019,4580
762,Wardha,DCH-32(Unginned),Oct,2019,4524
763,Nagpur,Varaxmi,Oct,2019,4774
764,Nagpur,Desi,Oct,2019,4805
765,Nagpur,Other,Oct,2019,4786
766,Nagpur,H-4(A) 27mm FIne,Oct,2019,4768
767,Nagpur,LRA,Oct,2019,4879
768,Nagpur,N-44,Oct,2019,4804
769,Nagpur,DCH-32(Unginned),Oct,2019,4589
770,Yavatmal,Varaxmi,Oct,2019,4699
771,Yavatmal,Desi,Oct,2019,4660
772,Yavatmal,Other,Oct,2019,4649
773,Yavatmal,H-4(A) 27mm FIne,Oct,2019,4771
774,Yavatmal,LRA,Oct,2019,4636
775,Yavatmal,N-44,Oct,2019,4664
776,Yavatmal,DCH-32(Unginned),Oct,2019,4525
777,Chandrapur,Varaxmi,Oct,2019,4490
778,Chandrapur,Desi,Oct,2019,4593
779,Chandrapur,Other,Oct,2019,4590
780,Chandrapur,H-4(A) 27mm FIne,Oct,2019,4699
781,Chandrapur,LRA,Oct,2019,4598
782,Chandrapur,N-44,Oct,2019,4593
783,Chandrapur,DCH-32(Unginned),Oct,2019,4525
784,Parbhani,Varaxmi,Oct,2019,4850
785,Parbhani,Desi,Oct,2019,4800
786,Parbhani,Other,Oct,2019,4644
787,Parbhani,H-4(A) 27mm FIne,Oct,2019,4894
788,Parbhani,LRA,Oct,2019,4805
789,Parbhani,N-44,Oct,2019,4801
790,Parbhani,DCH-32(Unginned),Oct,2019,4565
791,Amarawati,Varaxmi,Oct,2019,4690
792,Amarawati,Desi,Oct,2019,4709
793,Amarawati,Other,Oct,2019,4685
794,Amarawati,H-4(A) 27mm FIne,Oct,2019,4796
795,Amarawati,LRA,Oct,2019,4727
796,Amarawati,N-44,Oct,2019,4716
797,Amarawati,DCH-32(Unginned),Oct,2019,4527
798,Jalana,Varaxmi,Oct,2019,4033
799,Jalana,Desi,Oct,2019,4054
800,Jalana,Other,Oct,2019,4054
801,Jalana,H-4(A) 27mm FIne,Oct,2019,4084
802,Jalana,LRA,Oct,2019,4054
803,Jalana,N-44,Oct,2019,4054
804,Jalana,DCH-32(Unginned),Oct,2019,4054
805,Beed,Varaxmi,Oct,2019,4686
806,Beed,Desi,Oct,2019,4701
807,Beed,Other,Oct,2019,4676
808,Beed,H-4(A) 27mm FIne,Oct,2019,4799
809,Beed,LRA,Oct,2019,4722
810,Beed,N-44,Oct,2019,4704
811,Beed,DCH-32(Unginned),Oct,2019,4527
812,Buldhana,Varaxmi,Oct,2019,4373
813,Buldhana,Desi,Oct,2019,4528
814,Buldhana,Other,Oct,2019,4524
815,Buldhana,H-4(A) 27mm FIne,Oct,2019,4920
816,Buldhana,LRA,Oct,2019,4534
817,Buldhana,N-44,Oct,2019,4527
818,Buldhana,DCH-32(Unginned),Oct,2019,4537
819,Nanded,Varaxmi,Oct,2019,4369
820,Nanded,Desi,Oct,2019,4419
821,Nanded,Other,Oct,2019,4416
822,Nanded,H-4(A) 27mm FIne,Oct,2019,4538
823,Nanded,LRA,Oct,2019,4425
824,Nanded,N-44,Oct,2019,4420
825,Nanded,DCH-32(Unginned),Oct,2019,4493
826,Akola,Varaxmi,Oct,2019,4480
827,Akola,Desi,Oct,2019,4648
828,Akola,Other,Oct,2019,4635
829,Akola,H-4(A) 27mm FIne,Oct,2019,4791
830,Akola,LRA,Oct,2019,4721
831,Akola,N-44,Oct,2019,4653
832,Akola,DCH-32(Unginned),Oct,2019,4524
833,Aurangabad,Varaxmi,Oct,2019,4801
834,Aurangabad,Desi,Oct,2019,4773
835,Aurangabad,Other,Oct,2019,4738
836,Aurangabad,H-4(A) 27mm FIne,Oct,2019,4817
837,Aurangabad,LRA,Oct,2019,4785
838,Aurangabad,N-44,Oct,2019,4774
839,Aurangabad,DCH-32(Unginned),Oct,2019,4546
840,Wardha,Varaxmi,Nov,2019,4188
841,Wardha,Desi,Nov,2019,4190
842,Wardha,Other,Nov,2019,4190
843,Wardha,H-4(A) 27mm FIne,Nov,2019,4190
844,Wardha,LRA,Nov,2019,4199
845,Wardha,N-44,Nov,2019,4196
846,Wardha,DCH-32(Unginned),Nov,2019,4262
847,Nagpur,Varaxmi,Nov,2019,4339
848,Nagpur,Desi,Nov,2019,4352
849,Nagpur,Other,Nov,2019,4352
850,Nagpur,H-4(A) 27mm FIne,Nov,2019,4355
851,Nagpur,LRA,Nov,2019,4413
852,Nagpur,N-44,Nov,2019,4371
853,Nagpur,DCH-32(Unginned),Nov,2019,4387
854,Yavatmal,Varaxmi,Nov,2019,4472
855,Yavatmal,Desi,Nov,2019,4437
856,Yavatmal,Other,Nov,2019,4434
857,Yavatmal,H-4(A) 27mm FIne,Nov,2019,4438
858,Yavatmal,LRA,Nov,2019,4397
859,Yavatmal,N-44,Nov,2019,4438
860,Yavatmal,DCH-32(Unginned),Nov,2019,4435
861,Chandrapur,Varaxmi,Nov,2019,4306
862,Chandrapur,Desi,Nov,2019,4292
863,Chandrapur,Other,Nov,2019,4292
864,Chandrapur,H-4(A) 27mm FIne,Nov,2019,4277
865,Chandrapur,LRA,Nov,2019,4307
866,Chandrapur,N-44,Nov,2019,4296
867,Chandrapur,DCH-32(Unginned),Nov,2019,4337
868,Parbhani,Varaxmi,Nov,2019,4468
869,Parbhani,Desi,Nov,2019,4457
870,Parbhani,Other,Nov,2019,4386
871,Parbhani,H-4(A) 27mm FIne,Nov,2019,4456
872,Parbhani,LRA,Nov,2019,4440
873,Parbhani,N-44,Nov,2019,4463
874,Parbhani,DCH-32(Unginned),Nov,2019,4445
875,Amarawati,Varaxmi,Nov,2019,4081
876,Amarawati,Desi,Nov,2019,4221
877,Amarawati,Other,Nov,2019,4221
878,Amarawati,H-4(A) 27mm FIne,Nov,2019,4380
879,Amarawati,LRA,Nov,2019,4222
880,Amarawati,N-44,Nov,2019,4221
881,Amarawati,DCH-32(Unginned),Nov,2019,4223
882,Jalana,Varaxmi,Nov,2019,4351
883,Jalana,Desi,Nov,2019,4358
884,Jalana,Other,Nov,2019,4358
885,Jalana,H-4(A) 27mm FIne,Nov,2019,4365
886,Jalana,LRA,Nov,2019,4369
887,Jalana,N-44,Nov,2019,4379
888,Jalana,DCH-32(Unginned),Nov,2019,4387
889,Beed,Varaxmi,Nov,2019,4403
890,Beed,Desi,Nov,2019,4403
891,Beed,Other,Nov,2019,4398
892,Beed,H-4(A) 27mm FIne,Nov,2019,4406
893,Beed,LRA,Nov,2019,4387
894,Beed,N-44,Nov,2019,4429
895,Beed,DCH-32(Unginned),Nov,2019,4403
896,Buldhana,Varaxmi,Nov,2019,4431
897,Buldhana,Desi,Nov,2019,4443
898,Buldhana,Other,Nov,2019,4429
899,Buldhana,H-4(A) 27mm FIne,Nov,2019,4459
900,Buldhana,LRA,Nov,2019,4423
901,Buldhana,N-44,Nov,2019,4456
902,Buldhana,DCH-32(Unginned),Nov,2019,4418
903,Nanded,Varaxmi,Nov,2019,4267
904,Nanded,Desi,Nov,2019,4271
905,Nanded,Other,Nov,2019,4271
906,Nanded,H-4(A) 27mm FIne,Nov,2019,4272
907,Nanded,LRA,Nov,2019,4288
908,Nanded,N-44,Nov,2019,4281
909,Nanded,DCH-32(Unginned),Nov,2019,4333
910,Akola,Varaxmi,Nov,2019,4304
911,Akola,Desi,Nov,2019,4309
912,Akola,Other,Nov,2019,4309
913,Akola,H-4(A) 27mm FIne,Nov,2019,4307
914,Akola,LRA,Nov,2019,4322
915,Akola,N-44,Nov,2019,4327
916,Akola,DCH-32(Unginned),Nov,2019,4363
917,Aurangabad,Varaxmi,Nov,2019,4452
918,Aurangabad,Desi,Nov,2019,4451
919,Aurangabad,Other,Nov,2019,4437
920,Aurangabad,H-4(A) 27mm FIne,Nov,2019,4452
921,Aurangabad,LRA,Nov,2019,4432
922,Aurangabad,N-44,Nov,2019,4461
923,Aurangabad,DCH-32(Unginned),Nov,2019,4429
924,Wardha,Varaxmi,Dec,2019,4496
925,Wardha,Desi,Dec,2019,4577
926,Wardha,Other,Dec,2019,4569
927,Wardha,H-4(A) 27mm FIne,Dec,2019,4756
928,Wardha,LRA,Dec,2019,4601
929,Wardha,N-44,Dec,2019,4580
930,Wardha,DCH-32(Unginned),Dec,2019,4524
931,Nagpur,Varaxmi,Dec,2019,4774
932,Nagpur,Desi,Dec,2019,4805
933,Nagpur,Other,Dec,2019,4786
934,Nagpur,H-4(A) 27mm FIne,Dec,2019,4768
935,Nagpur,LRA,Dec,2019,4879
936,Nagpur,N-44,Dec,2019,4804
937,Nagpur,DCH-32(Unginned),Dec,2019,4589
938,Yavatmal,Varaxmi,Dec,2019,4699
939,Yavatmal,Desi,Dec,2019,4660
940,Yavatmal,Other,Dec,2019,4649
941,Yavatmal,H-4(A) 27mm FIne,Dec,2019,4771
942,Yavatmal,LRA,Dec,2019,4636
943,Yavatmal,N-44,Dec,2019,4664
944,Yavatmal,DCH-32(Unginned),Dec,2019,4525
945,Chandrapur,Varaxmi,Dec,2019,4490
946,Chandrapur,Desi,Dec,2019,4593
947,Chandrapur,Other,Dec,2019,4590
948,Chandrapur,H-4(A) 27mm FIne,Dec,2019,4699
949,Chandrapur,LRA,Dec,2019,4598
950,Chandrapur,N-44,Dec,2019,4593
951,Chandrapur,DCH-32(Unginned),Dec,2019,4525
952,Parbhani,Varaxmi,Dec,2019,4850
953,Parbhani,Desi,Dec,2019,4800
954,Parbhani,Other,Dec,2019,4644
955,Parbhani,H-4(A) 27mm FIne,Dec,2019,4894
956,Parbhani,LRA,Dec,2019,4805
957,Parbhani,N-44,Dec,2019,4801
958,Parbhani,DCH-32(Unginned),Dec,2019,4565
959,Amarawati,Varaxmi,Dec,2019,4690
960,Amarawati,Desi,Dec,2019,4709
961,Amarawati,Other,Dec,2019,4685
962,Amarawati,H-4(A) 27mm FIne,Dec,2019,4796
963,Amarawati,LRA,Dec,2019,4727
964,Amarawati,N-44,Dec,2019,4716
965,Amarawati,DCH-32(Unginned),Dec,2019,4527
966,Jalana,Varaxmi,Dec,2019,4033
967,Jalana,Desi,Dec,2019,4054
968,Jalana,Other,Dec,2019,4054
969,Jalana,H-4(A) 27mm FIne,Dec,2019,4084
970,Jalana,LRA,Dec,2019,4054
971,Jalana,N-44,Dec,2019,4054
972,Jalana,DCH-32(Unginned),Dec,2019,4054
973,Beed,Varaxmi,Dec,2019,4686
974,Beed,Desi,Dec,2019,4701
975,Beed,Other,Dec,2019,4676
976,Beed,H-4(A) 27mm FIne,Dec,2019,4799
977,Beed,LRA,Dec,2019,4722
978,Beed,N-44,Dec,2019,4704
979,Beed,DCH-32(Unginned),Dec,2019,4527
980,Buldhana,Varaxmi,Dec,2019,4373
981,Buldhana,Desi,Dec,2019,4528
982,Buldhana,Other,Dec,2019,4524
983,Buldhana,H-4(A) 27mm FIne,Dec,2019,4920
984,Buldhana,LRA,Dec,2019,4534
985,Buldhana,N-44,Dec,2019,4527
986,Buldhana,DCH-32(Unginned),Dec,2019,4537
987,Nanded,Varaxmi,Dec,2019,4369
988,Nanded,Desi,Dec,2019,4419
989,Nanded,Other,Dec,2019,4416
990,Nanded,H-4(A) 27mm FIne,Dec,2019,4538
991,Nanded,LRA,Dec,2019,4425
992,Nanded,N-44,Dec,2019,4420
993,Nanded,DCH-32(Unginned),Dec,2019,4493
994,Akola,Varaxmi,Dec,2019,4480
995,Akola,Desi,Dec,2019,4648
996,Akola,Other,Dec,2019,4635
997,Akola,H-4(A) 27mm FIne,Dec,2019,4791
998,Akola,LRA,Dec,2019,4721
999,Akola,N-44,Dec,2019,4653
1000,Akola,DCH-32(Unginned),Dec,2019,4524
1001,Aurangabad,Varaxmi,Dec,2019,4801
1002,Aurangabad,Desi,Dec,2019,4773
1003,Aurangabad,Other,Dec,2019,4738
1004,Aurangabad,H-4(A) 27mm FIne,Dec,2019,4817
1005,Aurangabad,LRA,Dec,2019,4785
1006,Aurangabad,N-44,Dec,2019,4774
1007,Aurangabad,DCH-32(Unginned),Dec,2019,4546
1008,Wardha,Varaxmi,Mar,2018,4501
1009,Wardha,Desi,Mar,2018,4596
1010,Wardha,Other,Mar,2018,4582
1011,Wardha,H-4(A) 27mm FIne,Mar,2018,4722
1012,Wardha,LRA,Mar,2018,4629
1013,Wardha,N-44,Mar,2018,4601
1014,Wardha,DCH-32(Unginned),Mar,2018,4457
1015,Nagpur,Varaxmi,Mar,2018,4699
1016,Nagpur,Desi,Mar,2018,4747
1017,Nagpur,Other,Mar,2018,4721
1018,Nagpur,H-4(A) 27mm FIne,Mar,2018,4728
1019,Nagpur,LRA,Mar,2018,4849
1020,Nagpur,N-44,Mar,2018,4746
1021,Nagpur,DCH-32(Unginned),Mar,2018,4527
1022,Yavatmal,Varaxmi,Mar,2018,4604
1023,Yavatmal,Desi,Mar,2018,4596
1024,Yavatmal,Other,Mar,2018,4593
1025,Yavatmal,H-4(A) 27mm FIne,Mar,2018,4706
1026,Yavatmal,LRA,Mar,2018,4585
1027,Yavatmal,N-44,Mar,2018,4603
1028,Yavatmal,DCH-32(Unginned),Mar,2018,4464
1029,Chandrapur,Varaxmi,Mar,2018,4390
1030,Chandrapur,Desi,Mar,2018,4533
1031,Chandrapur,Other,Mar,2018,4529
1032,Chandrapur,H-4(A) 27mm FIne,Mar,2018,4666
1033,Chandrapur,LRA,Mar,2018,4537
1034,Chandrapur,N-44,Mar,2018,4534
1035,Chandrapur,DCH-32(Unginned),Mar,2018,4458
1036,Parbhani,Varaxmi,Mar,2018,4842
1037,Parbhani,Desi,Mar,2018,4823
1038,Parbhani,Other,Mar,2018,4621
1039,Parbhani,H-4(A) 27mm FIne,Mar,2018,4925
1040,Parbhani,LRA,Mar,2018,4830
1041,Parbhani,N-44,Mar,2018,4823
1042,Parbhani,DCH-32(Unginned),Mar,2018,4521
1043,Amarawati,Varaxmi,Mar,2018,4674
1044,Amarawati,Desi,Mar,2018,4705
1045,Amarawati,Other,Mar,2018,4669
1046,Amarawati,H-4(A) 27mm FIne,Mar,2018,4753
1047,Amarawati,LRA,Mar,2018,4737
1048,Amarawati,N-44,Mar,2018,4716
1049,Amarawati,DCH-32(Unginned),Mar,2018,4465
1050,Jalana,Varaxmi,Mar,2018,4037
1051,Jalana,Desi,Mar,2018,3954
1052,Jalana,Other,Mar,2018,3954
1053,Jalana,H-4(A) 27mm FIne,Mar,2018,3863
1054,Jalana,LRA,Mar,2018,3954
1055,Jalana,N-44,Mar,2018,3954
1056,Jalana,DCH-32(Unginned),Mar,2018,3954
1057,Beed,Varaxmi,Mar,2018,4667
1058,Beed,Desi,Mar,2018,4698
1059,Beed,Other,Mar,2018,4661
1060,Beed,H-4(A) 27mm FIne,Mar,2018,4753
1061,Beed,LRA,Mar,2018,4731
1062,Beed,N-44,Mar,2018,4703
1063,Beed,DCH-32(Unginned),Mar,2018,4463
1064,Buldhana,Varaxmi,Mar,2018,4360
1065,Buldhana,Desi,Mar,2018,4549
1066,Buldhana,Other,Mar,2018,4538
1067,Buldhana,H-4(A) 27mm FIne,Mar,2018,4884
1068,Buldhana,LRA,Mar,2018,4557
1069,Buldhana,N-44,Mar,2018,4549
1070,Buldhana,DCH-32(Unginned),Mar,2018,4467
1071,Nanded,Varaxmi,Mar,2018,4143
1072,Nanded,Desi,Mar,2018,4218
1073,Nanded,Other,Mar,2018,4215
1074,Nanded,H-4(A) 27mm FIne,Mar,2018,4352
1075,Nanded,LRA,Mar,2018,4225
1076,Nanded,N-44,Mar,2018,4220
1077,Nanded,DCH-32(Unginned),Mar,2018,4403
1078,Akola,Varaxmi,Mar,2018,4426
1079,Akola,Desi,Mar,2018,4624
1080,Akola,Other,Mar,2018,4607
1081,Akola,H-4(A) 27mm FIne,Mar,2018,4742
1082,Akola,LRA,Mar,2018,4719
1083,Akola,N-44,Mar,2018,4631
1084,Akola,DCH-32(Unginned),Mar,2018,4457
1085,Aurangabad,Varaxmi,Mar,2018,4763
1086,Aurangabad,Desi,Mar,2018,4754
1087,Aurangabad,Other,Mar,2018,4714
1088,Aurangabad,H-4(A) 27mm FIne,Mar,2018,4776
1089,Aurangabad,LRA,Mar,2018,4777
1090,Aurangabad,N-44,Mar,2018,4753
1091,Aurangabad,DCH-32(Unginned),Mar,2018,4490
1092,Wardha,Varaxmi,Apr,2018,4496
1093,Wardha,Desi,Apr,2018,4577
1094,Wardha,Other,Apr,2018,4569
1095,Wardha,H-4(A) 27mm FIne,Apr,2018,4756
1096,Wardha,LRA,Apr,2018,4601
1097,Wardha,N-44,Apr,2018,4580
1098,Wardha,DCH-32(Unginned),Apr,2018,4524
1099,Nagpur,Varaxmi,Apr,2018,4774
1100,Nagpur,Desi,Apr,2018,4805
1101,Nagpur,Other,Apr,2018,4786
1102,Nagpur,H-4(A) 27mm FIne,Apr,2018,4768
1103,Nagpur,LRA,Apr,2018,4879
1104,Nagpur,N-44,Apr,2018,4804
1105,Nagpur,DCH-32(Unginned),Apr,2018,4589
1106,Yavatmal,Varaxmi,Apr,2018,4699
1107,Yavatmal,Desi,Apr,2018,4660
1108,Yavatmal,Other,Apr,2018,4649
1109,Yavatmal,H-4(A) 27mm FIne,Apr,2018,4771
1110,Yavatmal,LRA,Apr,2018,4636
1111,Yavatmal,N-44,Apr,2018,4664
1112,Yavatmal,DCH-32(Unginned),Apr,2018,4525
1113,Chandrapur,Varaxmi,Apr,2018,4490
1114,Chandrapur,Desi,Apr,2018,4593
1115,Chandrapur,Other,Apr,2018,4590
1116,Chandrapur,H-4(A) 27mm FIne,Apr,2018,4699
1117,Chandrapur,LRA,Apr,2018,4598
1118,Chandrapur,N-44,Apr,2018,4593
1119,Chandrapur,DCH-32(Unginned),Apr,2018,4525
1120,Parbhani,Varaxmi,Apr,2018,4850
1121,Parbhani,Desi,Apr,2018,4800
1122,Parbhani,Other,Apr,2018,4644
1123,Parbhani,H-4(A) 27mm FIne,Apr,2018,4894
1124,Parbhani,LRA,Apr,2018,4805
1125,Parbhani,N-44,Apr,2018,4801
1126,Parbhani,DCH-32(Unginned),Apr,2018,4565
1127,Amarawati,Varaxmi,Apr,2018,4690
1128,Amarawati,Desi,Apr,2018,4709
1129,Amarawati,Other,Apr,2018,4685
1130,Amarawati,H-4(A) 27mm FIne,Apr,2018,4796
1131,Amarawati,LRA,Apr,2018,4727
1132,Amarawati,N-44,Apr,2018,4716
1133,Amarawati,DCH-32(Unginned),Apr,2018,4527
1134,Jalana,Varaxmi,Apr,2018,4033
1135,Jalana,Desi,Apr,2018,4054
1136,Jalana,Other,Apr,2018,4054
1137,Jalana,H-4(A) 27mm FIne,Apr,2018,4084
1138,Jalana,LRA,Apr,2018,4054
1139,Jalana,N-44,Apr,2018,4054
1140,Jalana,DCH-32(Unginned),Apr,2018,4054
1141,Beed,Varaxmi,Apr,2018,4686
1142,Beed,Desi,Apr,2018,4701
1143,Beed,Other,Apr,2018,4676
